product_name_fr;code;ingredients_text_fr;nutriscore_grade;stores;packaging;brands;labels;quantity;ecoscore_score;ecoscore_grade
Belvita Petit Déjeuner Original;7622210713780;Céréales 56,6% [céréales complètes 38,5% (farine de blé complète 19,4%, flocons d'avoine 8,5%, farine complète d'orge 6,2%, farine complète de seigle 3,4%, farine complète d'épeautre (blé) 1%), farine de blé 18,1%], sucre, pépites de chocolat 12,3% [sucre, pâte de cacao, huiles végétales (palme, karité en proportions variables), dextrose, beurre de cacao, émulsifiant (lécithines de soja), huile de colza, cacao maigre en poudre 3%, amidon de blé, poudre à lever (carbonates d'ammonium, diphosphates, carbonates de sodium), minéraux (carbonate de calcium, carbonate de magnésium, fer élémentaire), émulsifiants (E492, lécithines de soja, E472e), sel, lait écrémé en poudre, arômes.
Thé - Biscuits;7622210476296;Farine de _blé_ 67 %,sucre, huile de palme, sirop de glucose-fructose, _lait_ écrémé en poudre, _lactosérum_ en poudre (de _lait_), arôme fleur d'oranger, fibres de _blé_, sel, poudres à lever (carbonate acide de sodium, carbonate acide d'ammonium), émulsifiant (lécithine de _soja_), arômes, colorant (E150b).
Tictac Breeze Erbe Alpine Sugar Free X25;8000500224847;"édulcorants (xylitol, sorbitol, glycosides de stéviol), épaississant : gomme arabique ; maltodextrine, arômes, extraits de plantes en poudre, menthol, eucalyptol, huile essentielle de menthe, colorant: E 100; concentré de spiruline."
Sugar-free nutty granola;5053827188531;Cereali(67%)(Fiocchi di orzo integrale{28%}, Avena{24%}, Segale integrale{14%}, Farina di frumento, Farina di avena), Crema di datteri(15%), Olio di girasole non idrogenato, Frutta a guscio(5%)(Anacardi, Mandorle), Purea di banana, Cocco(2%), Aromi naturali, Estratto di malto d'orzo, Sale. Per gli allergeni vedi ingredienti in grassetto. Può contenere altra frutta a guscio.
Œufs au chocolat Milka aux biscuits Oreo;04154217;Sucre, huile de palme, LAIT écrémé en poudre, lactosérum en poudre (de LAIT), beurre de cacao, pâte de cacao, BEURRE concentré, farine de BLÉ, émulsifiant (lécithines de SOJA), huile de colza, cacao maigre en poudre (0,2%), pâte de NOISETTES, amidon de BLÉ, sirop de glucose-fructose, poudres à lever (E501, E503, E500), sel, arômes,
LE JAMBON ZERO NITRITE - 4 tr;3302740025136;Jambon de porc, sel, bouillons (eau, jus concentrés de carotte et d'oignon, échalote, ail, plantes aromatiques, épices), sucre, antioxydants : ascorbate de sodium - extraits de romarin.
Harrys brioche tressee nature au sucre perle sans additifs;3228857001231;Farine de blé 52%, oeufs frais 12%, eau, huile de colza 11%, sucre 9%, sirop de glucose-fructose, sucre perlé 2,4% (sucre, graisse végétale : karité, arôme), gluten de blé, levure, arômes dont fleur d'oranger (contient alcool), extraits végétaux à pouvoir colorant (curcuma, paprika), sel, fibre de blé, farine d'orge maltée, extrait d'acérola. peut contenir des traces de soja, lait, fruits a coque et graines de sésame.
Pim's L'Original Orange;5410041005707;Marmelade d'oranges 41 % [(sirop de glucose-fructose, sucre, pulpe d'orange 4,5 %, jus d'orange concentré 1,4 % (équivalent jus d'orange 7,8 %), pulpe d'orange concentrée 0,6 % (équivalent pulpe d'orange 2,6 %), gélifiant (pectines), acidifiant (acide citrique), correcteurs d'acidité (citrate de calcium, citrate de sodium), arôme naturel d'orange, épaississant (gomme xanthane)], chocolat 24,9 % (sucre, pâte de cacao, beurre de cacao, graisses végétales (illipe, mangue, sal, karité et palme en proportions variables), arôme, émulsifiant (lécithine de soja), lactose et protéines de lait), farine de blé, sucre, œufs, sirop de glucose-fructose, huile végétale (colza), poudre à lever (carbonate acide d'ammonium, diphosphate disodique, carbonate acide de sodium), sel, émulsifiant (lécithine de soja).
Special Muesli 30% fruits & noix céréales complètes;5010477348678;Céréales Complètes (59%) (Flocons d'Avoine, Flocons de Blé, Flocons de Blé Grillés), Fruits Secs & Noix (30%) (Raisins Secs, Abricots secs hachés, Tranches de Pommes Séchées, Éclats de Noix de Coco Grillés, Noisettes Hachées Grillées, Amandes Effilées), Flocons d'Orge, Graines de Tournesol.
Pago Ace - Orange - Carotte - Citron;9002515601018;"Eau, jus à base de concentré de : orange (20%), citron 5%, sucre ; jus de carotte à base de concentré 5%, vitamine : C et E, provitamine A, arôme naturel."
Nocciolata Pâte à tartiner au cacao et noisettes;8001505005592;Sucre de canne*,pâte de _noisettes_* 18,5 %, huile de tournesol*, _lait_ écrémé en poudre*, cacao maigre en poudre* 6,5 %, beurre de cacao*, émulsifiant : lécithine de _soja_*, extrait de vanille*. * Biologique.
Prince petit dej;3017760306492;Céréales 58 % [farine de blé 51,6 %, flocons d'avoine 4,5 %, farine de seigle], sucre, huiles végétales (palme, colza), pépites de chocolat 12,9% [sucre, pâte de cacao, graisses végétales (palme, karité), beurre de cacao, émulsifiant (lécithine de soja)], billettes de riz soufflé 2,2% [farine de riz, sucre, gluten (de blé), farine de blé malté, huile de palme, arôme, sel], sirop de glucose-fructose, dérivé du lactosérum riche en calcium (de lait), lait écrémé en poudre 0,6 % (équivalent lait écrémé 6,3 %), arôme, poudre à lever (carbonate acide de sodium, carbonate acide d'ammonium), sel, carbonate de magnésium, émulsifiants (E472e, lécithine de tournesol), vitamine E, fer élémentaire, vitamine B1.
Petit écolier tendre coeur au lait;3017760002905;Chocolat au lait 38,8 % [sucre, beurre de cacao, pâte de cacao, lait écrémé en poudre, lactose (de lait), beurre pâtissier, émulsifiant (lécithine de tournesol), arôme vanille], farine de blé, sucre, graisses végétales (palme, coprah), lait entier en poudre 5,9 % (équivalent lait entier 47,6%), huile de colza, amidon de blé, lactosérum en poudre (de lait), amidon de maïs, lait écrémé en poudre 0,6 % (équivalent lait écrémé 7,1 %), émulsifiant (lécithine de soja), sel, poudre à lever (carbonate acide de sodium, diphosphate disodique, carbonate acide d'ammonium). Peut contenir oeuf, fruits à coque, sésame.
Chocolat Bio noir;7622210869616;Pâte de cacao, beurre de cacao, cacao maigre en poudre, sucre de canne, extrait de vanille _fruits à coque et lait
belvita original petit dejeuner;7622210713926;Céréales 69,5 % [céréales complètes 42,4 % (flocons de seigle 17,5 %, flocons d'avoine 15,3 %, gruau d'avoine 6,7 %, farine complète d'épeautre (blé) 1 %, farine complète d'orge 1 %, farine complète de blé 0,9 %), farine de blé 27,1 % ], sucre, huile de colza, sucre de canne, poudre à lever (carbonate acide de sodium, carbonate acide d'ammonium, diphosphate disodique), minéraux (carbonate de calcium, carbonates de magnésium, fer élémentaire), sel, sirop de sucre inverti, sirop d'orge malté, émulsifiant (lécithine de soja), lait écrémé en poudre
Roasted Almond No Sugars;5411188112709;Water, _Almond_ (2.3%), Calcium (Tri-calcium phosphate), Sea salt, Stabilisers (Locust bean gum, Gellan gum), Emulsifier (Lecithins (Sunflower)), Vitamins (B2, B12, E, D2).
Knorr Soupe Bouteille Patate Douce, Carottes, Fromage Frais;8717163793633;Voici les ingrédients présents dans notre jolie bouteille : de l'eau, de la patate douce¹ (23%), de la carotte¹ (21%), de l'oignon¹, du FROMAGE frais (4%), une petite noisette de BEURRE, de l'amidon de maïs, une pointe de sel, une pincée d'épice et d'aromates (ail, gingembre, racine de livèche), le tout réhaussé de curry (graines de coriandre, curcuma, graines de cumin, gingembre, poivre, anis, racine de livèche, graines de fenouil, piment, cannelle, piment de Cayenne). ¹Légumes issus de l'agriculture durable : 50%.
